---,4,"""---""",32,0.16,,,,,,,,,,A1:A200,Patterns
-+-,4,"""-+-""",96,0.48,,,,,,,,,,D1:D6,Frequency
-+-,4,"""--+""",32,0.16,,,,,,,,,,E1:E6,Probability
-+-,2,"""-++""",29,0.145,,,,,,,,,,,
-+-,2,"""+-+""",2,0.01,,,,,,,,,,,
--+,3,"""+--""",9,0.045,,,,,,,,,,,
-+-,2,,200,P(Pat),,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
---,3,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
---,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
+-+,2,,,,,,,,,,,,,,
-+-,1,,,,,,,,,,,,,,
+--,4,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
---,3,,,,,,,,,,,,,,
--+,4,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
---,2,,,,,,,,,,,,,,
-++,4,,,,,,,,,,,,,,
-+-,3,,,,,,,,,,,,,,
--+,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
+--,4,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
+-+,3,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
--+,2,,,,,,,,,,,,,,
-++,3,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-+-,3,,,,,,,,,,,,,,
--+,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
--+,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,3,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
---,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
+--,4,,,,,,,,,,,,,,
+--,4,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-++,4,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,1,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-++,2,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
---,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
--+,3,,,,,,,,,,,,,,
-+-,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
-+-,3,,,,,,,,,,,,,,
-++,3,,,,,,,,,,,,,,
--+,4,,,,,,,,,,,,,,
--+,2,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
+--,4,,,,,,,,,,,,,,
-+-,4,,,,,,,,,,,,,,
