2016,Cuba,45.8,44.7,45.33,43.6,
2012,Trinidad and Tobago,44.6,44.6,45.51,44.73,
2008,Belgium,45.43,43.7,44.44,45.88,
1997,Great Britain,45.71,44.18,44.46,45.11,
2015,France,45.6,44.4,45.05,44.45,
2017,Belgium,46,44.9,44.44,44.16,
1991,Great Britain,46,44.5,44.8,44.2,
1992,Cuba,46,44.1,44.9,44.5,
1987,U.S.A,45.8,45,43.67,45.04,
2015,Russia,46.1,44.5,44.63,44.29,
1976,U.S.A,45.5,45.3,43.63,45.1,
2016,Bahamas,45.2,44.6,44.9,44.83,
2016,Poland,45.7,44.7,44.72,44.42,
1990,U.S.A,46.2,44.5,44.6,44.3,
1991,U.S.A,45.4,43.9,44.5,45.8,
1966,U.S.A,46.3,44.5,43.8,45,
2003,Jamaica,45.4,45.1,44.04,45.06,
2015,Trinidad and Tobago,45.4,44.6,45.4,44.2,
1968,Kenya,44.6,45.5,45.1,44.4,
2012,Great Britain,45.1,44.9,45.53,44.09,
1992,Kenya,45.4,45.13,44.76,44.34,
1984,Australia,45.38,43.86,45.07,45.39,
2001,Poland,46,44.1,45.1,44.5,
1987,Cuba,45.6,45.3,44.1,44.7,
1998,Great Britain,45.77,44.81,44.97,44.16,
2014,France,45.3,44.6,45.22,44.59,
2000,Bahamas,44.73,45.74,44.79,44.46,
1992,Great Britain,45.2,44.65,45.14,44.74,
2014,Poland,45.4,44.4,45.63,44.31,
2008,U.S.A,44.9,45.5,45.47,43.88,
2005,Jamaica,45.5,45.6,44.33,44.33,
2005,Bahamas,45.3,44.7,45.72,44.05,
2001,Jamaica,45.2,44.4,45.1,45.1,
2015,Cuba,45.6,44.4,44.8,45,
2011,South Africa,46,43.9,44.88,45.03,
1993,Kenya,46.15,45.35,44.63,43.69,
2009,U.S.A,45.7,44.6,45.27,44.26,
2013,U.S.A,45.2,44.6,45.21,44.82,
1986,Great Britain,45.45,45.35,45.09,43.95,
2015,Cuba,45.9,44.4,44.99,44.56,
1996,Great Britain,45.8,45.2,44.5,44.35,
2008,Bahamas,45.59,44.94,45.1,44.25,
2013,Jamaica,46,44.3,45.53,44.05,
2006,U.S.A,45.9,44.2,45.5,44.3,
1997,Poland,45.4,44.8,44.82,44.88,
1995,Jamaica,45.9,44.2,44.97,44.84,
1972,Kenya,45.3,45.8,45.2,43.61986,
2013,Russia,45.4,44.8,45.05,44.67,
2008,U.S.A,44.92,44.5,44.63,45.93,
2008,U.S.A,44.92,44.5,44.63,45.93,
1993,Germany,45.47,45.36,44.99,44.17,
1993,Germany,45.47,45.36,44.99,44.17,
1985,Germany,45.8,44.8,45.3,44.1,
1997,Jamaica,46.2,43.9,44.84,45.07,
1997,Jamaica,46.2,43.9,44.84,45.07,
2008,Australia,46.07,45.26,44.41,44.28,
2008,Australia,46.07,45.26,44.41,44.28,
1987,Germany,45.7,44.3,45.12,44.93,
1987,Germany,45.7,44.3,45.12,44.93,
2007,Poland,45.54,44.49,44.28,45.74,
2006,U.S.A,46.4,45.1,44.16,44.39,
2017,Belgium,46.4,44.7,45.36,43.6,
2011,Jamaica,45.5,44.2,44.84,45.53,
2015,Bostwana,45.3,44.1,46.05,44.63,
1991,Jamaica,45.9,44.6,44.81,44.77,
2017,Great Britain,45.6,44.4,45.42,44.66,
1993,France,45.62,45.47,44.85,44.15,
2008,Jamaica,45.34,45.14,45.01,44.6,
2016,Cuba,46,44.5,45.4,44.21,
1984,U.S.A,45.93,44.65,44.81,44.8,
1997,Great Britain,46.14,44.33,44.53,45.19,
1984,U.S.A,45.4,45,45,44.8,
1986,Germany,46.1,45,44.5,44.6,
1989,U.S.A,46.6,44.1,44.7,44.8,
2015,U.S.A,46.1,44.3,44.9,44.9,
1993,Great Britain,45.8,45.2,44.7,44.5,
1999,South Africa,46.5,44.5,45.43,43.78,
2015,Jamaica,45.74,45.49,45,44,
2015,Dominican Republic,45.5,43.8,46.58,44.36,
1995,Germany,45.8,44.8,44.82,44.82,
