1,(-+-),1
,(---),0
,(--+),0
,(-++),0
,(+-+),0
,(+--),0
2,(-+-),0.594937
,(---),0.063291
,(--+),0.037975
,(-++),0.291139
,(+-+),0.012658
,(+--),0
3,(-+-),0.114286
,(---),0.057143
,(--+),0.714286
,(-++),0.057143
,(+-+),0.028571
,(+--),0.028571
4,(-+-),0.511905
,(---),0.297619
,(--+),0.047619
,(-++),0.047619
,(+-+),0
,(+--),0.095238
